gene_name,0x58_rep2_state1,0x58_rep3_state1,0x58_rep2_state2,0x58_rep3_state2,0x58_rep2_state3,0x58_rep3_state3,0x58_rep2_state4,0x58_rep3_state4,0x58_rep2_state5,0x58_rep3_state5,0x58_rep2_state6,0x58_rep3_state6,0x58_rep2_state7,0x58_rep3_state7,0x58_rep2_state8,0x58_rep3_state8,0x58modified_state3,Control_rep1,Control_rep2
yfiM_locusTag_ECDH10B_2754,14,80,11,34,20,34,9,90,30,34,27,12,13,12,25,22,11,14,58
yfiN_locusTag_ECDH10B_2771,34,94,27,61,66,70,24,169,69,30,63,27,23,20,80,60,198,47,92
yfiO_locusTag_ECDH10B_2763,837,3559,742,1866,1952,1471,1013,3624,2978,1537,2650,1306,1005,1234,3511,1332,14,901,2107
yfiP_locusTag_ECDH10B_2751,69,224,75,102,121,90,59,187,260,125,165,77,92,90,289,78,117,54,162
yfiQ_locusTag_ECDH10B_2752,293,2091,252,1082,572,1193,326,3543,1250,1575,1465,1717,929,2319,3051,3644,11,993,4065
yfiR_locusTag_ECDH10B_2770,41,235,50,94,133,139,54,240,132,75,127,60,20,49,124,98,31,53,178
yfjD_locusTag_ECDH10B_2779,248,747,174,303,337,302,182,683,521,341,463,197,170,214,547,265,0,198,546
yfjF_locusTag_ECDH10B_2784,10,75,13,23,21,25,25,48,24,30,32,26,11,44,40,18,10,17,32
yfjG_locusTag_ECDH10B_2785,96,405,112,210,161,195,69,543,343,322,188,235,115,199,312,269,1,131,407
yfjH_locusTag_ECDH10B_2789,22,100,15,63,41,18,6,31,54,40,61,20,16,22,54,21,4,18,78
yfjI_locusTag_ECDH10B_2791,6,21,4,8,13,9,6,21,14,11,7,1,11,10,19,9,1,4,10
yfjJ_locusTag_ECDH10B_2792,8,10,1,5,8,1,2,16,9,8,8,4,6,2,9,3,18,4,6
yfjK_locusTag_ECDH10B_2793,71,506,68,293,105,134,52,325,149,133,108,73,70,101,203,107,9,102,434
yfjL_locusTag_ECDH10B_2794,80,396,87,228,81,138,42,342,136,147,120,83,63,82,173,131,0,144,674
yfjM_locusTag_ECDH10B_2795,6,9,0,4,2,1,1,13,9,4,7,2,3,2,12,6,21,3,14
yfjN_locusTag_ECDH10B_2796,125,364,98,261,177,169,90,401,298,140,259,100,91,105,340,159,10,119,469
yfjO_locusTag_ECDH10B_2797,33,64,15,42,58,40,26,62,101,49,64,22,33,26,136,45,4,19,60
yfjP_locusTag_ECDH10B_2798,7,25,9,24,4,7,6,37,27,15,11,15,4,16,29,14,2,12,25
yfjQ_locusTag_ECDH10B_2799,2,13,1,5,9,4,3,9,4,7,8,5,3,3,6,3,0,2,8
yfjR_locusTag_ECDH10B_2800,4,10,1,5,6,5,3,18,5,3,6,4,3,1,11,1,0,5,10
yfjS_locusTag_ECDH10B_2802,1,3,0,2,0,1,0,5,0,1,1,0,3,2,1,2,0,0,5
yfjT_locusTag_ECDH10B_2803,7,21,7,8,11,10,1,20,22,7,14,10,2,4,23,4,0,6,23
yfjU_locusTag_ECDH10B_2804,5,9,4,8,11,3,6,11,6,3,8,4,2,13,11,5,0,2,12
yfjV_locusTag_ECDH10B_2806,5,16,2,9,2,17,2,11,10,9,7,5,2,6,16,9,9,2,17
yfjW_locusTag_ECDH10B_2809,87,310,89,130,108,108,48,175,188,99,163,80,64,62,240,85,0,57,190
yfjX_locusTag_ECDH10B_2810,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
yfjY_locusTag_ECDH10B_2811,0,1,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1
yfjZ_locusTag_ECDH10B_2813,3,2,0,2,0,2,0,3,1,1,1,0,2,2,1,0,6,0,2
ygaC_locusTag_ECDH10B_2838,11,31,10,26,23,52,13,140,36,73,28,75,18,53,67,66,44,17,56
ygaD_locusTag_ECDH10B_2868,291,1539,235,749,672,633,363,1841,765,690,677,558,343,523,908,488,14,334,1077
ygaF_locusTag_ECDH10B_2827,36,96,35,65,124,111,80,251,133,45,146,65,100,88,256,98,9,57,165
ygaH_locusTag_ECDH10B_2850,88,275,46,115,49,47,26,120,57,26,66,30,30,20,64,19,3,51,145
ygaP_locusTag_ECDH10B_2835,13,48,20,25,59,17,18,76,89,35,59,22,77,57,122,52,1,18,50
ygaQ_locusTag_ECDH10B_2825,3,7,3,4,21,5,3,11,12,8,16,2,2,6,14,9,7,6,15
ygaT_locusTag_ECDH10B_2826,20,59,19,30,103,116,42,272,74,62,102,67,59,63,144,86,14,31,67
ygaU_locusTag_ECDH10B_2832,76,338,63,184,143,228,84,602,238,222,252,239,178,283,519,328,1,105,486
ygaV_locusTag_ECDH10B_2834,4,19,4,13,4,12,2,32,19,11,19,8,14,12,19,21,3,9,21
ygaW_locusTag_ECDH10B_2837,14,230,6,113,26,138,13,294,54,171,48,85,30,101,87,131,6,20,343
ygaY_locusTag_ECDH10B_2848,3,33,3,11,44,32,22,62,49,35,36,26,18,20,68,28,26,11,26
ygaZ_locusTag_ECDH10B_2849,188,466,168,167,142,112,85,259,191,136,162,106,103,87,241,110,1,184,438
ygbA_locusTag_ECDH10B_2900,5,30,5,18,9,12,4,28,13,25,19,23,14,26,52,31,1,7,37
ygbE_locusTag_ECDH10B_2917,3,13,2,7,4,1,2,5,11,3,5,0,4,1,11,3,2,4,14
ygbF_locusTag_ECDH10B_2922,2,10,8,9,5,5,3,22,9,9,11,8,5,7,20,11,17,2,20
ygbI_locusTag_ECDH10B_2903,68,429,64,216,102,172,56,475,142,155,135,126,97,112,178,156,0,164,460
ygbJ_locusTag_ECDH10B_2904,2,22,8,14,8,12,7,37,27,28,22,27,15,30,44,40,2,4,23
ygbK_locusTag_ECDH10B_2905,12,52,5,25,22,26,8,62,51,35,40,32,31,48,71,41,2,12,53
ygbM_locusTag_ECDH10B_2907,7,42,6,15,15,19,10,50,25,36,36,23,13,26,42,36,2,10,32
ygbN_locusTag_ECDH10B_2908,9,42,5,13,15,18,14,47,38,24,19,15,7,13,25,18,2,15,31
ygbT_locusTag_ECDH10B_2923,13,46,12,14,11,10,8,33,28,21,26,13,11,7,26,20,3,11,35
ygcB_locusTag_ECDH10B_2929,21,120,26,90,29,34,24,171,46,55,38,45,15,42,61,55,0,48,263
ygcE_locusTag_ECDH10B_2943,8,55,11,33,31,18,14,54,29,24,43,17,13,23,34,23,15,10,53
ygcF_locusTag_ECDH10B_2944,172,439,117,193,239,197,140,421,312,223,280,183,122,120,427,164,0,178,441
ygcG_locusTag_ECDH10B_2945,1,2,0,0,1,2,0,4,1,2,0,0,1,3,3,0,1,0,1
ygcH_locusTag_ECDH10B_2924,6,9,5,13,9,7,4,24,12,4,15,8,2,5,9,7,1,7,13
ygcI_locusTag_ECDH10B_2925,2,18,0,9,8,1,3,18,13,3,5,3,2,4,14,8,1,5,10
ygcJ_locusTag_ECDH10B_2926,10,32,3,20,24,14,13,50,33,15,26,2,10,10,25,10,0,9,30
ygcK_locusTag_ECDH10B_2927,3,12,2,6,3,5,0,2,2,0,2,5,3,1,9,3,2,0,6
ygcL_locusTag_ECDH10B_2928,8,17,7,12,11,10,5,20,7,1,11,4,3,4,9,7,18,10,16
ygcN_locusTag_ECDH10B_2934,42,284,46,134,110,166,48,273,174,150,148,120,84,102,290,212,0,135,401
ygcO_locusTag_ECDH10B_2935,0,1,1,0,0,1,0,2,1,0,2,0,0,0,0,2,9,0,3
ygcP_locusTag_ECDH10B_2936,16,99,14,38,30,40,17,93,63,49,67,36,39,53,55,64,0,26,133
ygcQ_locusTag_ECDH10B_2937,10,16,9,10,16,10,2,23,15,11,14,9,5,7,19,9,0,9,16
ygcR_locusTag_ECDH10B_2938,4,5,3,6,4,9,4,14,14,6,8,8,0,3,9,5,0,9,7
ygcS_locusTag_ECDH10B_2939,9,7,1,2,6,2,3,13,11,6,6,6,2,1,8,3,2,4,18
ygcU_locusTag_ECDH10B_2940,15,46,10,29,22,22,10,55,18,26,24,11,11,19,22,10,0,18,46
ygcW_locusTag_ECDH10B_2941,2,6,0,2,7,10,1,19,6,7,6,4,0,2,10,7,1,2,5
ygdB_locusTag_ECDH10B_2994,3,5,1,1,7,5,2,10,12,3,7,1,5,6,11,4,0,3,11
ygdD_locusTag_ECDH10B_2976,18,34,16,17,12,16,17,39,20,30,18,11,17,20,43,29,38,27,42
ygdE_locusTag_ECDH10B_2975,347,1020,290,566,423,434,211,1142,819,608,703,491,302,406,866,493,103,338,943
ygdH_locusTag_ECDH10B_2964,407,2383,367,1262,903,1031,388,2623,1378,984,1252,905,540,821,2074,1192,11,585,2988
ygdI_locusTag_ECDH10B_2979,46,180,45,117,174,200,79,398,166,129,193,145,65,143,436,325,17,35,219
ygdK_locusTag_ECDH10B_2981,83,264,90,107,119,95,53,249,243,107,169,90,109,96,294,134,37,99,264
ygdL_locusTag_ECDH10B_2982,339,779,301,372,347,320,196,798,520,431,423,263,284,240,572,285,12,332,544
ygdQ_locusTag_ECDH10B_3002,115,311,75,134,115,98,73,213,152,93,189,49,51,56,165,36,3,77,189
ygdR_locusTag_ECDH10B_3003,43,170,22,101,80,108,46,316,94,174,70,161,41,163,132,97,9,63,319
ygeA_locusTag_ECDH10B_3012,86,381,89,163,221,246,83,520,4378,3168,3855,2695,2642,2677,5542,2924,15,147,481
ygeD_locusTag_ECDH10B_3005,86,242,84,128,141,96,52,218,189,94,154,61,60,40,217,69,0,89,179
ygeF_locusTag_ECDH10B_3022,0,1,1,3,2,0,1,1,5,4,6,1,0,1,0,1,0,1,1
ygeG_locusTag_ECDH10B_3023,0,1,1,2,3,1,1,2,6,4,3,0,0,3,3,1,3,1,0
ygeH_locusTag_ECDH10B_3024,1,13,2,3,5,3,0,9,11,11,8,2,5,5,14,6,0,2,7
