gene_name,0x58_rep2_state1,0x58_rep3_state1,0x58_rep2_state2,0x58_rep3_state2,0x58_rep2_state3,0x58_rep3_state3,0x58_rep2_state4,0x58_rep3_state4,0x58_rep2_state5,0x58_rep3_state5,0x58_rep2_state6,0x58_rep3_state6,0x58_rep2_state7,0x58_rep3_state7,0x58_rep2_state8,0x58_rep3_state8,0x58modified_state3,Control_rep1,Control_rep2
17_locusTag_ECDH10B_1337,7,21,5,18,7,16,4,32,12,11,15,13,6,14,20,10,0,7,23
18_locusTag_ECDH10B_1338,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
19_locusTag_ECDH10B_1339,0,0,0,0,0,2,0,0,1,1,1,0,1,1,1,2,0,0,1
2_locusTag_ECDH10B_1347,5,14,4,10,10,7,4,15,19,12,8,5,5,7,25,11,2,4,16
30_locusTag_ECDH10B_1329,1,4,1,0,2,5,0,5,0,3,1,1,2,2,4,7,0,0,3
40_locusTag_ECDH10B_1327,174,930,167,604,345,494,123,1362,516,573,394,384,205,370,638,628,36,355,1480
5_locusTag_ECDH10B_1352,2,4,2,2,0,0,1,1,1,1,0,1,0,0,0,5,0,1,2
AmtR,1489,4274,4284,8655,13227,14700,9842,44018,3904,3473,8211,6119,4304,8296,20667,13494,1441,0,0
AraC,7616,28116,7527,16223,12734,13906,7471,42186,18924,13069,18516,12140,9930,12104,25537,15331,1086,0,0
BM3R1,91,317,72,197,474,409,243,883,15316,19063,11089,11984,5155,14741,20405,20266,30,0,0
B_locusTag_ECDH10B_1349,3,23,9,8,10,15,5,27,14,16,21,13,15,8,21,13,0,13,29
C_locusTag_ECDH10B_1350,3,14,2,5,7,8,1,14,16,4,1,6,4,7,7,8,0,7,11
D_locusTag_ECDH10B_1351,2,5,1,4,2,5,1,12,5,3,2,5,2,3,12,5,0,1,9
ECDH10B_0725_locusTag_ECDH10B_0725,2,7,3,3,5,3,1,11,12,5,5,2,3,5,19,9,0,1,14
ECDH10B_1315_locusTag_ECDH10B_1315,0,2,0,0,3,1,0,0,1,1,1,0,1,0,1,0,0,0,0
ECDH10B_1316_locusTag_ECDH10B_1316,8,11,4,5,7,2,5,14,17,1,8,3,4,4,18,3,1,5,9
ECDH10B_1317_locusTag_ECDH10B_1317,5,5,7,4,7,4,3,12,6,2,7,0,3,5,9,3,1,6,8
ECDH10B_1320_locusTag_ECDH10B_1320,0,0,0,0,3,0,0,1,0,2,0,1,0,0,1,1,0,0,0
ECDH10B_1321_locusTag_ECDH10B_1321,6,28,11,23,23,8,11,35,35,13,18,8,8,11,34,18,1,10,21
ECDH10B_1322_locusTag_ECDH10B_1322,3,11,1,7,7,7,5,21,8,7,4,5,4,6,12,10,0,3,13
ECDH10B_1324_locusTag_ECDH10B_1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECDH10B_1325_locusTag_ECDH10B_1325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECDH10B_1331_locusTag_ECDH10B_1331,1,12,3,6,6,7,2,19,21,10,11,4,5,6,20,7,0,2,8
ECDH10B_1333_locusTag_ECDH10B_1333,7,29,3,14,15,24,5,38,23,30,19,18,7,11,34,16,0,17,28
ECDH10B_1334_locusTag_ECDH10B_1334,8,32,8,15,19,24,5,31,30,26,34,8,12,22,45,28,2,6,38
ECDH10B_1335_locusTag_ECDH10B_1335,3,7,4,3,3,3,2,9,9,8,12,1,4,3,4,6,2,7,9
ECDH10B_1343_locusTag_ECDH10B_1343,268,1160,226,582,542,526,217,1442,557,368,528,301,174,332,664,373,50,240,1170
ECDH10B_1344_locusTag_ECDH10B_1344,3,10,7,1,3,11,4,6,10,7,12,6,4,10,7,5,0,0,11
ECDH10B_1345_locusTag_ECDH10B_1345,3,10,4,8,17,9,6,18,25,5,6,9,6,5,16,4,0,1,8
ECDH10B_p1_locusTag_ECDH10B_p1,24913,75225,20927,37704,25860,28249,14453,69790,40816,28730,31719,25718,13428,21324,42362,26998,2908,27163,68708
ECDH10B_p2_locusTag_ECDH10B_p2,4505,11061,3341,5313,8179,4103,3279,10406,8517,4331,9191,3800,2396,3097,9911,3340,550,3231,9423
KanR,7398,26179,7353,14000,13653,13032,7339,29952,22247,10621,19658,9904,5929,7057,21633,9374,184,6899,27891
LacI,1037,4496,982,2527,1852,2309,1011,6532,3489,2427,3050,2223,1606,2290,3948,2649,7293,1900,5489
LitR,524,1783,670,1026,74047,105401,39119,237866,119233,167707,113883,139576,96773,293822,302703,292646,0,0,0
N_locusTag_ECDH10B_1326,1,2,1,0,1,0,0,10,4,0,1,0,0,3,0,2,0,1,5
Nu1_locusTag_ECDH10B_1346,2,2,1,1,4,2,0,6,4,3,10,1,4,1,12,0,0,2,2
P_locusTag_ECDH10B_1332,3,6,1,3,3,5,1,5,12,4,3,2,3,3,8,4,475,3,9
PhlF,16131,48882,12382,27371,6947,4913,2790,13163,6980,4532,9875,7060,3742,4009,10706,6115,0,0,0
Rz1_locusTag_ECDH10B_1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rz_locusTag_ECDH10B_1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,0,0
SrpR,67225,124354,7838,11949,11291,7999,6103,20259,73715,38944,6142,3660,2026,3281,6794,3782,202,0,0
TetR,1070,3277,993,1826,1844,1579,1104,4032,3183,1682,2672,1429,1514,1516,3828,1763,0,1544,3874
W_locusTag_ECDH10B_1348,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6020,0,0
YFP,416,1473,412,981,86048,84318,43695,190946,167348,88886,3577,2214,5595,5380,14564,6767,2,0,0
aaeA_locusTag_ECDH10B_3418,23,79,19,31,25,32,17,72,40,38,30,28,23,26,48,21,17,25,68
aaeR_locusTag_ECDH10B_3420,94,449,98,301,125,164,80,442,244,233,184,147,95,151,304,180,0,155,532
aaeX_locusTag_ECDH10B_3419,1,16,3,4,0,8,1,17,4,5,3,2,6,4,10,1,42,4,24
aas_locusTag_ECDH10B_3006,256,1009,227,609,518,441,284,1173,771,381,616,287,237,281,710,269,13,255,850
aat_locusTag_ECDH10B_0955,86,303,61,186,107,187,59,361,260,154,164,117,118,147,279,133,2,70,224
abgA_locusTag_ECDH10B_1458,6,34,8,12,15,17,7,29,34,13,17,9,12,11,31,19,0,12,32
abgB_locusTag_ECDH10B_1457,6,16,4,15,5,11,3,25,28,16,17,7,8,6,23,11,6,6,14
abgR_locusTag_ECDH10B_1459,28,211,25,89,75,93,38,283,132,115,118,96,70,105,215,115,0,50,195
abgT_locusTag_ECDH10B_1456,8,23,6,6,10,18,5,27,15,14,4,4,3,8,24,14,1,7,26
abrB_locusTag_ECDH10B_0782,28,303,10,165,23,75,15,175,37,62,44,43,21,46,49,52,295,46,584
accA_locusTag_ECDH10B_0165,1809,5872,2031,2923,2745,2703,2016,6336,5852,3059,3976,2323,1800,2040,5424,1989,327,2093,4676
accB_locusTag_ECDH10B_3430,2091,5987,1660,3501,3006,2592,1612,6467,3682,2360,3107,1836,1362,1679,3951,1815,528,1807,4554
accC_locusTag_ECDH10B_3431,4116,11742,3472,6217,5646,4764,2811,11275,7859,3990,5386,2986,2392,2316,7193,2941,241,3980,8836
accD_locusTag_ECDH10B_2478,1852,6859,1393,3794,3240,3090,1627,7914,4617,3368,3259,2035,1494,2436,4511,2317,37,1774,4624
aceA_locusTag_ECDH10B_4204,547,2173,600,1185,421,373,195,795,575,374,542,306,340,460,1007,413,19,911,1602
aceB_locusTag_ECDH10B_4203,448,2347,391,1392,228,344,149,930,493,413,404,370,358,562,981,512,4268,519,1545
aceE_locusTag_ECDH10B_0094,23689,76421,19718,33997,46455,39445,20696,82900,65200,38628,54825,34524,24235,29502,77034,36428,2728,23463,67925
aceF_locusTag_ECDH10B_0095,16404,47231,14120,22855,31671,25987,13743,51921,47714,23728,34702,23828,17239,18699,52920,22085,9,18863,49206
aceK_locusTag_ECDH10B_4205,128,434,133,269,87,60,37,180,152,78,117,50,72,57,218,76,592,137,348
ackA_locusTag_ECDH10B_2458,4790,17712,2723,7808,6657,6585,3220,15313,12706,8159,8364,5781,3625,5361,12357,6838,93,3957,14110
acnA_locusTag_ECDH10B_1393,320,1153,297,635,864,678,390,1736,1020,414,863,381,425,292,1308,397,1822,396,1296
acnB_locusTag_ECDH10B_0098,7681,27056,7515,14140,20370,13465,8811,32006,22292,11343,18853,8914,9239,7053,27125,8843,19,10202,29218
acpH_locusTag_ECDH10B_0360,96,204,70,135,167,120,73,270,299,148,224,112,114,122,338,150,829,68,240
acpP_locusTag_ECDH10B_1166,5446,25200,4836,12874,9714,11766,5976,35739,14138,12694,11501,11277,4484,11684,18189,11497,28,4406,17722
acpT_locusTag_ECDH10B_3649,211,501,133,203,138,107,95,275,177,110,122,62,53,31,144,65,59,122,353
acrA_locusTag_ECDH10B_0419,156,882,251,607,509,640,269,1423,309,223,1758,1167,927,1059,2528,1362,137,1065,3587
acrB_locusTag_ECDH10B_0418,507,1678,564,1109,1414,1029,739,2560,909,531,4473,2358,1909,1927,6207,2211,11,2588,6930
acrD_locusTag_ECDH10B_2635,73,200,57,91,167,140,66,253,473,237,322,189,194,236,478,215,1,40,150
acrE_locusTag_ECDH10B_3440,4,27,4,14,6,5,3,13,16,4,7,7,4,4,10,3,5,6,17
acrF_locusTag_ECDH10B_3441,43,155,45,100,68,62,37,144,138,64,84,48,53,63,125,85,3,50,166
acrR_locusTag_ECDH10B_0420,4,10,10,23,19,26,15,54,17,12,121,79,61,106,202,122,0,16,80
acs_locusTag_ECDH10B_4259,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
actP_locusTag_ECDH10B_4257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
ada_locusTag_ECDH10B_2370,22,80,33,92,73,72,30,179,127,59,97,39,45,74,172,98,144,42,121
add_locusTag_ECDH10B_1756,324,1016,316,513,1816,1081,1102,2247,3823,1110,3159,1048,1513,1230,5249,1400,41,373,709
ade_locusTag_ECDH10B_3848,140,552,129,309,381,454,184,1159,646,498,414,347,155,301,489,436,2989,165,611
adhE_locusTag_ECDH10B_1302,11449,74289,13101,45102,34631,46971,18408,115285,52274,43480,50539,49513,27753,52970,87495,65921,26,18737,99081
adhP_locusTag_ECDH10B_1609,128,227,102,116,227,159,129,404,255,108,241,113,133,132,321,125,1,132,266
adiC_locusTag_ECDH10B_4307,5,47,8,54,9,9,4,65,8,14,9,14,1,4,16,8,162,13,63
adk_locusTag_ECDH10B_0430,1092,6463,963,3301,2197,2574,850,6794,3376,2357,2668,2291,1382,1999,3566,2152,0,1325,4900
adrA_locusTag_ECDH10B_0342,8,28,1,17,8,9,6,19,14,14,10,13,6,10,14,9,2,13,26
aegA_locusTag_ECDH10B_2633,20,70,17,71,24,31,12,92,58,44,39,30,18,30,66,42,8,26,94
aer_locusTag_ECDH10B_3247,48,139,39,71,85,65,53,157,124,84,118,55,62,49,140,91,3,52,118
aes_locusTag_ECDH10B_0432,15,138,13,89,24,54,14,154,44,96,36,76,21,90,67,125,0,41,174
afuB_locusTag_ECDH10B_0249,1,6,2,4,1,1,2,3,4,0,0,1,2,0,6,0,0,3,3
agaA_locusTag_ECDH10B_3308,7,42,8,20,8,29,6,47,28,19,12,18,6,13,13,11,0,10,33
agaB_locusTag_ECDH10B_3311,0,2,0,4,3,0,1,4,1,1,3,2,2,0,5,0,0,1,2
agaC_locusTag_ECDH10B_3312,1,6,2,2,2,1,0,1,5,8,5,2,2,2,3,3,1,6,2
agaD_locusTag_ECDH10B_3313,4,8,0,6,1,1,0,4,4,9,2,2,3,0,5,2,0,3,4
agaI_locusTag_ECDH10B_3314,1,8,2,7,6,5,3,12,5,3,4,6,1,2,8,5,69,2,7
agaR_locusTag_ECDH10B_3304,290,1343,304,712,600,679,336,1505,1008,922,811,694,430,696,1305,796,0,433,1342
agaS_locusTag_ECDH10B_3309,5,30,5,22,7,11,1,22,13,13,8,15,10,16,9,14,0,7,21
agaV_locusTag_ECDH10B_3306,1,18,2,8,5,9,4,21,1,5,6,9,2,9,2,11,0,8,18
agaW_locusTag_ECDH10B_3307,2,3,0,5,1,2,4,11,1,2,0,2,0,0,3,2,30,1,7
agp_locusTag_ECDH10B_1074,108,1699,144,932,341,761,220,1961,371,717,407,832,218,689,777,1103,0,423,2462
ahpC_locusTag_ECDH10B_0566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahpC_locusTag_ECDH10B_0674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahpF_locusTag_ECDH10B_0567,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ahpF_locusTag_ECDH10B_0675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
aidB_locusTag_ECDH10B_4382,30,123,38,86,61,48,40,167,92,50,70,58,37,49,123,65,1,52,167
ais_locusTag_ECDH10B_2412,5,12,11,6,29,10,19,8,60,6,58,14,34,7,91,7,708,7,3
alaS_locusTag_ECDH10B_2865,6041,16450,5004,8149,8885,7060,4748,15507,12320,5907,8847,4458,4035,3539,11224,3921,0,6321,12231
alaT_locusTag_ECDH10B_4042,17,20,1,7,7,3,0,6,16,3,9,2,2,1,6,2,0,0,4
alaU_locusTag_ECDH10B_3451,7,16,1,1,1,0,1,8,4,4,3,3,1,1,1,0,0,2,1
alaV_locusTag_ECDH10B_0184,16,32,3,1,7,4,6,8,27,4,12,5,1,2,8,0,0,1,1
alaW_locusTag_ECDH10B_2561,4,14,2,5,6,2,2,8,3,6,5,2,1,3,6,3,1,3,4
alaX_locusTag_ECDH10B_2560,1,5,0,2,1,0,1,1,3,1,0,1,0,2,1,0,156,0,0
aldA_locusTag_ECDH10B_1541,978,2513,740,1449,2279,2840,1119,5818,1294,1302,1373,1116,640,1149,1875,1074,7,1149,2030
aldB_locusTag_ECDH10B_3769,23,118,22,96,85,125,53,368,65,91,101,126,100,147,199,164,5,56,161
alkA_locusTag_ECDH10B_2218,33,148,29,66,99,69,60,233,120,96,110,67,84,72,204,99,2,48,170
alkB_locusTag_ECDH10B_2369,2,15,1,15,9,10,9,18,27,12,17,8,7,8,30,15,1,5,11
allA_locusTag_ECDH10B_0461,2,22,2,4,9,9,2,27,14,10,5,6,11,4,19,10,3,4,17
allB_locusTag_ECDH10B_0468,11,19,4,16,18,11,7,33,22,13,17,4,4,18,30,10,1,9,29
allC_locusTag_ECDH10B_0472,14,38,4,22,21,14,7,57,22,29,28,33,10,18,23,24,1,7,29
allD_locusTag_ECDH10B_0473,3,21,4,6,9,10,5,39,10,16,9,7,10,17,25,12,41,7,25
allR_locusTag_ECDH10B_0462,437,1891,527,1124,888,1054,408,2662,1488,1073,1115,853,833,920,1922,1190,0,642,1558
allS_locusTag_ECDH10B_0460,0,14,0,6,3,6,0,10,7,6,1,4,1,3,7,7,0,2,28
alpA_locusTag_ECDH10B_2790,1,6,3,7,3,4,2,6,6,4,3,4,1,0,6,2,71,0,7
alr_locusTag_ECDH10B_4242,418,1277,407,605,678,417,361,1196,1035,587,854,393,459,396,1539,458,1,441,921
alsA_locusTag_ECDH10B_4278,7,242,8,132,29,249,18,698,165,823,168,1037,132,1245,175,1292,8,11,115
alsB_locusTag_ECDH10B_4279,19,466,5,233,52,365,29,864,232,951,266,1189,208,1848,626,2037,0,34,279
alsC_locusTag_ECDH10B_4277,3,109,3,67,9,122,5,202,27,153,4,163,3,195,9,171,2,0,29
alsE_locusTag_ECDH10B_4276,0,70,4,40,7,55,0,73,14,79,8,52,3,106,14,70,2,1,23
alsK_locusTag_ECDH10B_4275,7,70,6,21,8,52,4,78,26,73,20,63,7,45,35,61,50,4,41
alx_locusTag_ECDH10B_3264,246,696,200,340,354,269,139,608,604,343,425,265,233,249,559,356,36,215,492
amiA_locusTag_ECDH10B_2600,119,495,128,264,240,233,106,580,458,323,325,247,191,231,581,262,73,114,417
amiB_locusTag_ECDH10B_4364,271,900,216,509,408,459,249,1106,1041,613,708,514,390,456,1177,533,96,290,815
amiC_locusTag_ECDH10B_2987,345,1054,357,598,1172,860,587,2197,1706,844,1378,693,702,647,1641,660,90,304,674
amn_locusTag_ECDH10B_2126,293,1391,279,704,729,717,369,1854,1197,632,1176,548,621,573,1512,631,6,248,1126
ampC_locusTag_ECDH10B_4345,89,769,63,375,75,152,41,271,119,91,94,55,34,57,104,55,15,47,251
ampD_locusTag_ECDH10B_0090,37,399,49,205,108,215,65,592,229,281,204,204,101,199,333,256,21,129,572
ampE_locusTag_ECDH10B_0091,127,610,95,296,221,272,103,890,375,314,339,394,180,327,493,368,56,174,747
ampG_locusTag_ECDH10B_0389,509,970,342,426,676,426,391,947,1183,434,918,313,376,248,1095,313,10,304,488
ampH_locusTag_ECDH10B_0333,106,446,76,238,119,210,77,434,157,150,119,132,50,94,131,141,0,143,402
amtB_locusTag_ECDH10B_0407,43,83,33,40,37,40,22,114,68,48,52,41,38,34,86,26,14,24,74
amyA_locusTag_ECDH10B_2068,101,265,103,167,218,186,104,469,195,122,259,121,146,104,319,126,6,160,441
anmK_locusTag_ECDH10B_1774,69,393,56,230,137,190,75,646,182,225,244,220,111,227,330,253,23,120,420
ansA_locusTag_ECDH10B_1905,217,574,167,329,300,238,139,553,358,162,275,100,99,116,316,103,20,144,454
ansB_locusTag_ECDH10B_3132,94,4484,60,2771,160,441,54,1368,278,317,221,297,109,156,229,222,7,265,7486
ansP_locusTag_ECDH10B_1583,100,146,62,75,108,76,39,130,147,72,123,53,53,35,138,50,13,90,107
apaG_locusTag_ECDH10B_0051,82,182,69,96,110,82,66,204,216,88,183,113,82,54,241,76,43,86,158
apaH_locusTag_ECDH10B_0050,269,490,175,316,447,292,228,621,596,263,484,167,307,198,752,246,31,252,467
aphA_locusTag_ECDH10B_4244,110,1023,97,476,199,399,138,967,296,297,234,252,117,231,497,271,3,233,1349
appA_locusTag_ECDH10B_1050,18,113,40,141,40,65,18,198,51,42,52,45,26,35,85,38,2,25,145
appB_locusTag_ECDH10B_1049,25,86,97,222,30,46,40,196,42,30,35,20,18,15,50,31,2,48,119
appC_locusTag_ECDH10B_1048,22,91,91,191,33,37,38,198,28,17,25,19,9,15,46,15,0,59,124
appY_locusTag_ECDH10B_0522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appY_locusTag_ECDH10B_0630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0
apt_locusTag_ECDH10B_0425,793,3168,733,1456,1653,1686,890,3927,2666,1266,2037,1318,694,1181,2628,1222,2,1038,1562
aqpZ_locusTag_ECDH10B_0945,8,71,6,32,18,26,10,66,23,28,24,21,7,23,39,20,5,25,116
araE_locusTag_ECDH10B_3013,44,214,67,87,90,92,43,328,31991,36911,29762,30109,15501,30110,43773,36946,0,127,558
araF_locusTag_ECDH10B_2041,5,44,7,26,11,12,11,130,3058,8147,3423,7135,2233,9873,8473,14054,2,61,521
araG_locusTag_ECDH10B_2040,5,28,6,33,18,22,16,61,2920,4142,3422,4844,2159,6445,5557,8501,2,37,306
araH_locusTag_ECDH10B_2039,4,46,13,52,21,30,7,117,1414,3110,1366,3075,580,3291,955,3072,4,21,192
araJ_locusTag_ECDH10B_0352,32,109,23,60,47,58,25,118,4774,2644,4354,2085,1513,1807,4806,2076,184,38,132
arcA_locusTag_ECDH10B_4559,1636,8525,1318,5275,2461,2920,1216,8285,3063,2824,2361,2675,985,2041,3414,2584,85,1766,9212
arcB_locusTag_ECDH10B_3385,533,2454,519,1467,1091,1147,536,3377,1160,1025,1077,904,518,751,1405,1031,8,679,2662
argA_locusTag_ECDH10B_2988,45,204,54,110,81,93,41,196,155,124,107,85,83,122,201,116,3,44,193
argB_locusTag_ECDH10B_4147,28,127,28,79,78,103,21,220,81,108,78,94,43,83,129,105,13,48,137
argC_locusTag_ECDH10B_4146,43,194,42,88,78,100,29,260,126,177,95,115,46,102,164,136,5,43,135
argD_locusTag_ECDH10B_3535,102,437,89,242,136,193,68,523,261,344,240,230,133,196,345,262,61,127,395
argE_locusTag_ECDH10B_4145,233,1269,221,793,595,886,310,2030,1277,1220,1182,876,755,1217,1984,1608,10,326,1405
argF_locusTag_ECDH10B_0261,66,166,37,76,130,122,48,265,222,154,183,119,114,108,278,143,17,77,113
argG_locusTag_ECDH10B_3346,196,1122,188,520,252,293,127,806,230,333,307,274,86,234,377,262,23,323,1062
argH_locusTag_ECDH10B_4148,158,845,140,393,300,395,155,953,398,585,361,434,197,371,596,410,3,198,636
argI_locusTag_ECDH10B_4447,14,40,8,23,10,24,10,44,48,51,19,32,11,20,40,37,1,10,30
argK_locusTag_ECDH10B_3093,10,18,7,15,9,5,4,27,18,11,16,3,4,3,17,19,17,5,14
argO_locusTag_ECDH10B_3098,90,289,63,192,114,186,60,444,226,230,229,204,157,265,460,290,71,182,444
argP_locusTag_ECDH10B_3091,288,1423,259,659,530,590,295,1355,954,581,828,559,343,643,1288,683,29,338,1398
argQ_locusTag_ECDH10B_2859,171,406,121,178,174,152,97,210,482,187,248,100,122,77,450,115,29,151,290
argR_locusTag_ECDH10B_3414,262,1043,200,685,383,531,212,1202,526,507,314,352,201,332,553,485,122,235,1042
argS_locusTag_ECDH10B_2017,931,3314,782,1839,1470,1586,815,3705,2116,1533,1614,1185,854,1085,2349,903,10,881,2365
argT_locusTag_ECDH10B_2472,260,788,76,130,125,100,41,268,1313,1478,197,195,154,269,296,235,7,289,674
argU_locusTag_ECDH10B_0492,19,68,16,35,22,25,6,44,84,61,31,18,15,42,94,36,1,28,74
argV_locusTag_ECDH10B_2862,29,37,20,19,19,19,9,36,36,23,28,14,5,7,34,18,0,16,28
argW_locusTag_ECDH10B_2511,2,3,1,0,1,6,2,1,3,4,0,1,0,2,3,3,0,0,1
argX_locusTag_ECDH10B_3986,11,13,13,6,15,4,2,6,6,1,3,0,3,1,4,2,25,6,2
argY_locusTag_ECDH10B_2861,174,234,107,149,140,141,52,239,341,149,197,74,95,63,361,108,30,105,227
argZ_locusTag_ECDH10B_2860,182,444,138,191,197,155,79,220,403,196,234,100,128,100,434,109,0,116,296
arnA_locusTag_ECDH10B_2415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arnB_locusTag_ECDH10B_2413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
arnC_locusTag_ECDH10B_2414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
arnT_locusTag_ECDH10B_2417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0
aroA_locusTag_ECDH10B_0978,537,1685,466,836,991,739,463,1525,1390,586,1204,450,579,410,1425,360,138,431,774
aroB_locusTag_ECDH10B_3564,1355,3246,1233,1672,1517,1423,888,3201,2265,1327,1669,1101,722,881,2028,933,84,1170,2335
aroC_locusTag_ECDH10B_2491,522,1426,400,949,905,850,436,1876,1267,709,1027,660,565,555,1541,690,13,586,1377
aroD_locusTag_ECDH10B_1829,65,326,79,166,161,177,87,352,323,173,280,134,107,136,370,161,35,85,235
aroE_locusTag_ECDH10B_3456,371,921,318,407,587,486,241,880,1089,541,904,394,453,389,986,427,30,282,579
aroF_locusTag_ECDH10B_2768,167,679,142,349,240,240,107,673,335,284,263,203,130,184,268,230,449,186,523
aroG_locusTag_ECDH10B_0821,1416,5278,1386,2613,4248,2797,1836,6611,5620,2355,4760,1832,2761,1868,8173,2282,15,1509,4533
aroH_locusTag_ECDH10B_1840,190,628,171,386,170,212,158,587,509,223,349,216,169,170,447,164,115,129,436
aroK_locusTag_ECDH10B_3565,939,2965,757,1588,1257,1253,679,3140,1532,1258,1310,913,571,785,1565,732,23,1071,2157
aroL_locusTag_ECDH10B_0345,177,551,154,303,261,250,147,706,379,265,313,183,156,175,382,234,8,197,499
aroM_locusTag_ECDH10B_0347,61,130,52,79,80,52,45,134,158,54,98,28,54,31,128,33,46,25,98
aroP_locusTag_ECDH10B_0092,296,947,282,457,462,436,214,1079,823,504,687,420,335,367,956,506,2,324,839
arpA_locusTag_ECDH10B_4206,16,41,14,19,16,4,3,12,24,14,16,8,9,3,15,8,1,8,23
arsB_locusTag_ECDH10B_3678,31,113,15,61,33,29,13,70,45,31,36,34,12,19,43,32,3,21,79
arsC_locusTag_ECDH10B_3679,9,53,7,29,14,31,9,44,31,27,21,24,3,14,34,22,1,18,32
arsR_locusTag_ECDH10B_3677,11,67,12,34,7,33,3,59,30,23,23,21,6,14,20,21,21,15,59
artI_locusTag_ECDH10B_0933,153,805,142,407,309,494,143,1105,409,485,490,519,206,379,601,537,6,255,969
artJ_locusTag_ECDH10B_0930,67,389,51,188,223,185,49,382,230,222,267,195,129,190,337,173,24,52,274
artM_locusTag_ECDH10B_0931,151,364,91,126,190,203,145,400,248,264,287,218,134,184,391,200,34,153,327
artP_locusTag_ECDH10B_0934,171,699,131,353,321,388,141,785,410,473,451,342,202,300,596,342,8,218,555
artQ_locusTag_ECDH10B_0932,88,295,71,127,183,159,71,292,191,176,254,126,90,133,251,154,4,135,245
ascB_locusTag_ECDH10B_2884,28,134,23,74,56,49,36,148,98,72,73,71,36,75,84,58,1,35,124
ascF_locusTag_ECDH10B_2883,19,71,17,55,29,34,17,76,50,33,46,24,21,22,49,49,13,31,101
ascG_locusTag_ECDH10B_2882,54,219,41,155,142,105,48,322,190,168,161,98,137,141,242,153,490,115,250
asd_locusTag_ECDH10B_3607,2053,10719,2000,5833,6355,7086,3028,18598,7102,5578,7256,5795,4132,6549,12026,6898,1,2448,12013
aslA_locusTag_ECDH10B_3991,8,102,9,38,24,32,6,71,54,18,30,21,25,12,29,27,6,22,108
aslB_locusTag_ECDH10B_3990,107,346,82,165,90,85,43,192,150,82,97,67,30,62,123,67,49,75,227
asmA_locusTag_ECDH10B_2214,255,821,214,450,451,535,211,1343,629,521,514,413,307,414,925,606,182,294,1006
asnA_locusTag_ECDH10B_3932,1642,4922,1461,2899,2650,2844,1426,7152,5595,3325,3693,2680,1924,2108,4656,1943,430,1710,4125
asnB_locusTag_ECDH10B_0739,649,2717,1709,5742,4980,6827,2638,17445,5268,3455,5957,4372,3093,3565,9247,5557,204,855,2370
asnC_locusTag_ECDH10B_1000,1788,6625,1545,3551,2932,2844,1429,6086,4214,2763,3452,2239,1916,1998,4949,2345,9,2015,4046
asnC_locusTag_ECDH10B_3931,38,210,36,115,82,103,29,275,140,115,101,75,37,85,140,100,1,62,213
asnT_locusTag_ECDH10B_2120,1,9,1,6,2,3,3,24,11,10,3,5,2,20,24,12,1,5,13
asnU_locusTag_ECDH10B_2130,8,46,4,22,4,35,6,29,45,58,25,13,10,18,60,35,1,11,65
asnV_locusTag_ECDH10B_2133,1,12,0,1,3,1,0,5,3,0,0,2,1,1,3,1,0,1,5
asnW_locusTag_ECDH10B_2128,0,13,2,1,2,5,0,12,3,10,3,9,1,2,4,2,413,2,16
aspA_locusTag_ECDH10B_4332,1940,28165,2198,15161,3636,9724,2188,23962,4837,9369,3971,9535,1630,8621,8891,13294,414,7649,40301
aspC_locusTag_ECDH10B_0998,2005,9569,1330,4725,3960,4853,2079,10998,4689,3851,4111,3553,1593,3280,5963,3044,236,2489,9380
aspS_locusTag_ECDH10B_2007,1454,6000,1435,3114,3139,2750,1355,6357,3897,2920,3417,2293,1711,2034,4673,2154,0,1741,5381
aspT_locusTag_ECDH10B_3949,3,9,6,3,2,5,0,6,7,8,2,0,2,1,4,1,0,2,3
aspU_locusTag_ECDH10B_0187,2,3,1,1,1,0,1,3,3,2,0,2,0,1,0,0,3,0,2
aspV_locusTag_ECDH10B_0197,10,30,9,7,5,16,8,18,16,14,9,9,4,9,31,9,3,9,24
