"","gene_id","locus_tag","norm_count","raw_count","K12_DH10B_GSE98890"
"595","ECDH10B_1325","ECDH10B_1325",0,0,1
"596","ECDH10B_1331","ECDH10B_1331",0.973424252917416,5,1
"597","ECDH10B_1333","ECDH10B_1333",5.55878490896683,22.5,1
"598","ECDH10B_1334","ECDH10B_1334",3.87063519304317,22,1
"599","ECDH10B_1335","ECDH10B_1335",2.11720729581613,8,1
"600","ECDH10B_1343","ECDH10B_1343",131.066346864454,705,1
"601","ECDH10B_1344","ECDH10B_1344",0.746713341228582,5.5,1
"602","ECDH10B_1345","ECDH10B_1345",0.758244250541829,4.5,1
"603","ECDH10B_p1","ECDH10B_p1",10509.0416999038,47935.5,1
"604","ECDH10B_p2","ECDH10B_p2",1334.90838898433,6327,1
"605","ecfK","ECDH10B_0157",1673.3405320462,7852,1
"606","ecnA","ECDH10B_4341",3.15851457975433,13.5,1
"607","ecnB","ECDH10B_4342",14.0019474238875,69.5,1
"608","eco","ECDH10B_2366",97.9905701485858,488.5,1
"609","ecpD","ECDH10B_0120",0.486712126458708,2.5,1
"610","eda","ECDH10B_1991",190.631214180702,930,1
"611","edd","ECDH10B_1992",51.4916144953799,254.5,1
"612","efeB","ECDH10B_1092",31.963060955163,115,1
"613","efeO","ECDH10B_1091",50.2122563048547,193,1
"614","efeU","ECDH10B_1089",16.3049516935742,55,1
"615","efp","ECDH10B_4340",918.894867525311,4242.5,1
"616","elaA","ECDH10B_2428",0,0,1
"617","elaB","ECDH10B_2427",0.418829095437928,2,1
"618","elaD","ECDH10B_2431",0.622478188500269,3.5,1
"619","elbA","ECDH10B_1209",2.02626244616886,9.5,1
"620","elbB","ECDH10B_3383",68.2254328544316,374.5,1
"621","emrA","ECDH10B_2852",41.5845992409221,162,1
"622","emrB","ECDH10B_2853",26.3786093778523,107.5,1
"623","emrD","ECDH10B_3856",62.1250770365723,284,1
"624","emrE","ECDH10B_0499",23.9655057144679,106,1
"625","emrK","ECDH10B_2533",1.5510812290234,6,1
"626","emrY","ECDH10B_2532",2.9318036680655,14,1
"627","emtA","ECDH10B_1246",44.9889792764157,192.5,1
"628","engA","ECDH10B_2677",480.647890684109,1946.5,1
"629","engB","ECDH10B_4054",415.396443884373,1997.5,1
"630","eno","ECDH10B_2946",4513.12923289523,23151,1
"631","entA","ECDH10B_0556",0,0,1
"632","entA","ECDH10B_0664",0,0,1
"633","entB","ECDH10B_0555",0,0,1
"634","entB","ECDH10B_0663",0,0,1
"635","entC","ECDH10B_0553",0,0,1
"636","entC","ECDH10B_0661",0,0,1
"637","entD","ECDH10B_0542",0,0,1
"638","entD","ECDH10B_0650",0,0,1
"639","entE","ECDH10B_0554",0,0,1
"640","entE","ECDH10B_0662",0,0,1
"641","entF","ECDH10B_0546",0,0,1
"642","entF","ECDH10B_0654",0,0,1
"643","entS","ECDH10B_0551",0,0,1
"644","entS","ECDH10B_0659",0,0,1
"645","envC","ECDH10B_3795",162.441713273471,756,1
"646","envR","ECDH10B_3439",1.10919031495898,6,1
"647","envY","ECDH10B_0524",0,0,1
"648","envY","ECDH10B_0632",0,0,1
"649","envZ","ECDH10B_3579",83.6326578752614,386,1
"650","epd","ECDH10B_3102",806.691615992237,3888,1
"651","eptA","ECDH10B_4306",12.5777061973098,52.5,1
"652","eptB","ECDH10B_3725",163.4380084306,816.5,1
"653","era","ECDH10B_2734",128.278505636412,538,1
"654","erfK","ECDH10B_2134",27.254576656829,146.5,1
"655","essD","ECDH10B_0511",0,0,1
"656","essD","ECDH10B_0619",0,0,1
"657","essQ","ECDH10B_1688",0,0,1
"658","etk","ECDH10B_1051",18.8690686884745,94.5,1
"659","etp","ECDH10B_1052",0.905541221896636,4.5,1
"660","eutA","ECDH10B_2616",1.0413072839382,5.5,1
"661","eutB","ECDH10B_2606",24.4842057191489,118.5,1
"662","eutC","ECDH10B_2605",17.7265880704345,85,1
"663","eutD","ECDH10B_2623",0.984955162230663,4,1
"664","eutE","ECDH10B_2620",1.66378547243847,9,1
"665","eutG","ECDH10B_2618",1.09765940564573,7,1
"666","eutH","ECDH10B_2617",1.31283940802132,7.5,1
"667","eutJ","ECDH10B_2619",0.407298186124681,3,1
"668","eutL","ECDH10B_2604",8.61352130490194,45,1
"669","eutP","ECDH10B_2626",0.203649093062341,1.5,1
"670","eutQ","ECDH10B_2625",0.996486071543909,3,1
"671","eutT","ECDH10B_2624",1.40378425766859,6,1
"672","evgA","ECDH10B_2534",81.5128457297279,391,1
"673","exbB","ECDH10B_3182",384.353475715014,1362,1
"674","exbD","ECDH10B_3181",191.461439651256,858,1
"675","exo","ECDH10B_1318",1.61896426004418,6.5,1
"676","exoX","ECDH10B_1985",50.9920690347493,259.5,1
"677","exuR","ECDH10B_3270",162.405245377428,938,1
"678","exuT","ECDH10B_3269",39.0368410259398,210.5,1
"679","fabA","ECDH10B_1024",590.272316720007,2448,1
