"","gene_id","Locus_tag","norm_count","raw_count","BW25113_GSE73673","BW25113_GSE85914"
"963","yccM","b0992",0.717341333992181,5,1,1
"964","torS","b0993",4.37175014414339,8.5,1,1
"965","torT","b0994",5.29081734988964,6,1,1
"966","torR","b0995",5.32589658792622,6.5,1,1
"967","torC","b0996",0.119910572613514,3,1,1
"968","torA","b0997",1.11092412192787,2.5,1,1
"969","torD","b0998",0.54590895905698,1,1,1
"970","cbpM","b0999",186.04546601946,178,1,1
"971","cbpA","b1000",368.598773278234,397,1,1
"972","yccE","b1001",2.55306765580269,66.5,1,1
"973","agp","b1002",72.8957958435672,81.5,1,1
"974","yccJ","b1003",351.227836509917,339,1,1
"975","wrbA","b1004",1135.38979609454,1127,1,1
"976","rutG","b1006",3.46679609734739,25,1,1
"977","rutF","b1007",3.17333104810977,3.5,1,1
"978","rutE","b1008",2.10193767124223,2,1,1
"979","rutD","b1009",1.074652972228,1.5,1,1
"980","rutC","b1010",0.525484417810559,0.5,1,1
"981","rutB","b1011",0.0236841366068789,0.5,1,1
"982","rutA","b1012",0.0204245412464215,0.5,1,1
"983","rutR","b1013",9.47914406183648,9.5,1,1
"984","putA","b1014",30.4202630483945,41,1,1
"985","putP","b1015",11.3430665499112,17,1,1
"986","efeO","b1018",35.4321259470181,41,1,1
"987","efeB","b1019",97.2201709495498,105,1,1
"988","phoH","b1020",301.770160642902,290,1,1
