MG_names,ATCC_GSE94978_1,ATCC_GSE94978_2,BW25113_GSE73673_6,BW25113_GSE73673_7,BW25113_GSE73673_8,BW25113_GSE85914,K12DH_GSE98890_1,K12DH_GSE98890_2,K12MG_GSE114917_LP1,K12MG_GSE114917_LP2,K12MG_GSE114917_LP3,K12MG_GSE114917_LP4,K12MG_GSE40313_1,K12MG_GSE40313_2,K12MG_GSE54199_DNA,K12MG_GSE54199_RNA,K12MG_GSE60522_1,K12MG_GSE60522_2,K12MG_GSE60522_3
b3820,159.0,240.0,4.0,5.0,3.0,45.0,47.0,85.0,11.0,9.0,10.0,26.0,4.0,10.0,71286.0,15081.5,115.0,144.0,171.0
b3822,1643.0,1489.0,19.0,13.0,16.0,26.0,289.0,567.0,439.0,313.0,258.0,500.0,88.0,125.0,251616.5,78116.0,414.0,325.0,312.0
b3823,2260.0,3060.0,31.0,6.0,6.0,37.0,135.0,460.0,212.0,170.0,153.0,137.0,61.0,98.0,87975.5,43191.5,193.0,188.0,241.0
b3824,399.0,364.0,9.0,2.0,5.0,163.0,48.0,204.0,35.0,24.0,21.0,19.0,18.0,23.0,94226.0,22085.5,83.0,60.0,86.0
