yceB,b1063,JW1050,,,,,,,,,
ybjN,b0853,JW0837,,,,,,,,,
ydbH,b1381,JW1376,,,,,,,,,
ydjI,b1773,JW1762,,,,,,,,,
yadE,b0130,JW0126,,,,,,,,,
yhaI,b3104,JW3075,,,,,,,,,
ybcY,b0562,JW0551,,,,,,,,,
ybbD,b0501,JW0489,,,,,,,,,
ybaN,b0468,JW0457,,,,,,,,,
ypdF,b2385,JW2382,,,,,,,,,
ycjV,ymjB,b4524,JW1311/JW5203,b1318,,,,,,,
ypdI,b2376,JW2373,,,,,,,,,
ymcE,sfa,b0991,JW0975,,,,,,,,
ygiC,b3038,JW3006,,,,,,,,,
yphC,b2545,JW5842,,,,,,,,,
yjcB,b4060,JW5718,,,,,,,,,
yjbR,b4057,JW4018,,,,,,,,,
ymfH,b1142,JW1128,,,,,,,,,
ypjA,b2647,JW5422,,,,,,,,,
yjfJ,b4182,JW4140,,,,,,,,,
ygfF,yqfD,b2902,JW2870,,,,,,,,
ygfX,cptA,b2896,JW2864,,,,,,,,
ymfJ,b1144,JW1130,,,,,,,,,
yicH,b3655,JW3630,,,,,,,,,
yncG,b1454,JW1449,,,,,,,,,
yhjJ,b3527,JW3495,,,,,,,,,
yfjY,b2644,JW2625,,,,,,,,,
yiaJ,b3574,JW3546,,,,,,,,,
yiaL,b3576,JW3548,,,,,,,,,
yibI,b3598,JW3572,,,,,,,,,
yijE,b3943,JW5557,,,,,,,,,
yhdP,yhdQ,yhdR,b4472,JW5542,,,,,,,
yihN,b3874,JW3845,,,,,,,,,
yiiQ,b3920,JW3891,,,,,,,,,
yibG,b3596,JW3570,,,,,,,,,
yfjH,b2623,JW2603,,,,,,,,,
yfdF,b2345,JW2342,,,,,,,,,
yqhA,b3002,JW2971,,,,,,,,,
yqjI,b3071,JW3042,,,,,,,,,
znuA,yebL,yzzP,b1857,JW5831,,,,,,,
ytfI,b4215,JW5748,,,,,,,,,
zapD,yacF,b0102,JW0099,,,,,,,,
zinT,yodA,b1973,JW1956,,,,,,,,
zitB,ybgR,b0752,JW0735,,,,,,,,
ychA,sirB1,b1214,JW1205,,,,,,,,
tabA,yjgK,b4252,JW5756,,,,,,,,
trxA,fipA,tsnC,b3781,JW5856,,,,,,,
sseA,b2521,JW2505,,,,,,,,,
topA,supX,b1274,JW1266,,,,,,,,
ubiI,visC,b2906,JW2874,,,,,,,,
ung,b2580,JW2564,,,,,,,,,
uxaB,b1521,JW1514,,,,,,,,,
xerC,b3811,JW3784,,,,,,,,,
xynR,yagI,b0272,JW0265,,,,,,,,
ydgH,b1604,JW1596,,,,,,,,,
yabI,b0065,JW5005,,,,,,,,,
ycgV,b1202,JW1193,,,,,,,,,
yegU,b2099,JW2086,,,,,,,,,
ycgR,b1194,JW1183,,,,,,,,,
ycgY,b1196,JW1185,,,,,,,,,
yciI,b1251,JW1243,,,,,,,,,
ybaK,b0481,JW0470,,,,,,,,,
ybaB,b0471,JW0460,,,,,,,,,
yciZ,b4596,JW1277,,,,,,,,,
ycjY,b1327,JW5804,,,,,,,,,
ybcL,b0545,JW0533,,,,,,,,,
yhaB,b3120,JW3091,,,,,,,,,
ybdO,b0603,JW0596,,,,,,,,,
yhbS,b3156,JW3125,,,,,,,,,
ypfM,b4606,JW2454.1,,,,,,,,,
ygdQ,b2832,JW2800,,,,,,,,,
yhcH,b3221,JW3190,,,,,,,,,
ygcQ,b2769,JW5440,,,,,,,,,
ygjV,b3090,JW3061,,,,,,,,,
ygeA,b2840,JW2808,,,,,,,,,
yidB,b3698,JW3675,,,,,,,,,
yqeI,b2847,JW2815,,,,,,,,,
yfaT,b2229,JW2223,,,,,,,,,
yfjW,b2642,JW2623,,,,,,,,,
yiaW,b3587,JW3559,,,,,,,,,
yfjX,b2643,JW2624,,,,,,,,,
yqgB,b2939,JW2906,,,,,,,,,
yhfK,b3358,JW5701,,,,,,,,,
yijO,b3954,JW3926,,,,,,,,,
yiaD,b3552,JW5657,,,,,,,,,
ykfC,b0258,JW5813,,,,,,,,,
yhgN,b3434,JW3397,,,,,,,,,
yoeA,b4582,JW1980,b1995,b1998,,,,,,,
yhiS,b3504,JW3471,,,,,,,,,
yigE,b4482,JW5591,,,,,,,,,
yniD,b4535,JW5911,,,,,,,,,
yfdC,b2347,JW2344,,,,,,,,,
yqhC,b3010,JW5849,,,,,,,,,
yqjG,b3102,JW3073,,,,,,,,,
agaB,yraD,b3138,JW3107,,,,,,,,
rsmG,gidB,b3740,JW3718,,,,,,,,
rsmJ,yhiQ,b3497,JW5672,,,,,,,,
seqA,b0687,JW0674,,,,,,,,,
setB,yeiO,b2170,JW2157,,,,,,,,
selU,ybbB,b0503,JW0491,,,,,,,,
secM,srrA,yacA,b0097,JW5007,,,,,,,
slyB,b1641,JW1633,,,,,,,,,
sucC,b0728,JW0717,,,,,,,,,
sstT,ygjU,b3089,JW3060,,,,,,,,
lysU,b4129,JW4090,,,,,,,,,
tcyP,ydjN,b1729,JW1718,,,,,,,,
hsdS,hss,b4348,JW4311,,,,,,,,
